Name,WeightClassKg,BodyweightKg,Division,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Sex,Equipment,meetid,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName,Age,Team,BirthYear,BirthDate,State,Country,IPFGL
Louise Sutton,57,56.65,M2,77.5,85.0,90.0,90.0,50.0,52.5,-55.0,52.5,105.0,115.0,120.0,120.0,262.5,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,61.86
Natalie Bartolo,57,54.5,Open,87.5,92.5,-97.5,92.5,47.5,52.5,-57.5,52.5,100.0,105.0,107.5,107.5,252.5,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,61.32
Cass Pickard,63,63.0,M1,135.0,142.5,-150.0,142.5,70.0,-75.0,-75.0,70.0,175.0,182.5,192.5,192.5,405.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,88.61
Amy Evans #1,63,61.85,Open,100.0,105.0,110.0,110.0,60.0,-65.0,-65.0,60.0,105.0,110.0,-115.0,110.0,280.0,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,62.0
Rachel Kerrigan,63,59.8,M1,-92.5,-92.5,92.5,92.5,42.5,47.5,-50.0,47.5,-110.0,110.0,112.5,112.5,252.5,3,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,57.21
Melanie Green,72,70.0,Open,117.5,-127.5,132.5,132.5,67.5,-70.0,-70.0,67.5,170.0,180.0,-185.0,180.0,380.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,78.11
Kirsten Ramage,72,70.95,M1,122.5,130.0,-140.0,130.0,70.0,75.0,77.5,77.5,145.0,152.5,157.5,157.5,365.0,2,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,74.48
Angela Hudson,72,69.75,M1,110.0,115.0,-120.0,115.0,75.0,-80.0,82.5,82.5,130.0,135.0,140.0,140.0,337.5,3,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.51
Tara Clark,72,67.0,Open,75.0,77.5,82.5,82.5,45.0,47.5,52.5,52.5,90.0,95.0,102.5,102.5,237.5,4,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,50.04
Jess Laughlan,84+,100.6,Open,60.0,65.0,70.0,70.0,42.5,45.0,-50.0,45.0,90.0,97.5,105.0,105.0,220.0,1,SBD,F,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,39.17
Tom Evill,83,82.35,Open,200.0,225.0,230.0,230.0,115.0,122.5,127.5,127.5,265.0,285.0,-290.0,285.0,642.5,1,SBD,M,Single-ply,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,74.54
Mark Roskell,93,92.55,M1,190.0,210.0,220.0,220.0,165.0,175.0,-180.0,175.0,220.0,240.0,-250.0,240.0,635.0,1,SBD,M,Single-ply,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.04
Joel Hudson,93,85.8,Open,180.0,192.5,-200.0,192.5,100.0,107.5,-112.5,107.5,190.0,202.5,210.0,210.0,510.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,69.43
Laurence Burdekin,105,104.7,Open,-220.0,220.0,-225.0,220.0,160.0,-167.5,-167.5,160.0,-250.0,-250.0,-250.0,0.0,0.0,DQ,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,0.0
Richard Hozjan,120,115.3,Open,257.5,270.0,282.5,282.5,207.5,212.5,217.5,217.5,300.0,-307.5,-307.5,300.0,800.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,94.65
Scott Hall #1,120+,150.6,M1,330.0,350.0,-357.5,350.0,187.5,195.0,-202.5,195.0,310.0,330.0,-340.0,330.0,875.0,1,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,92.73
Adam Huard,120+,131.9,Open,220.0,240.0,250.0,250.0,80.0,100.0,120.0,120.0,250.0,265.0,277.5,277.5,647.5,2,SBD,M,Raw,1801,APU,2018-03-03,Australia,NSW,Cardiff,Bristow Open,0.0,0,0.0,0,0,0,72.31
